case_id,status,final_action,amount,amount_recovered,resolution_time,resolution_unit,initial_attempt_count,attempts_made,diagnosis_category,diagnosis_confidence,escalation_reason,reasoning_summary
B2B-709b7d97-464,ESCALATED,ESCALATE_HUMAN,2917.55,0.00,N/A,days,2,1,N/A,N/A,dispute_skip,Pre-pipeline skip (dispute): Active dispute flag detected — skipping LLM pipeline for immediate dispute queue routing.
B2B-6a34c854-107,ESCALATED,ESCALATE_HUMAN,1951.00,0.00,N/A,days,2,1,N/A,N/A,dispute_skip,Pre-pipeline skip (dispute): Active dispute flag detected — skipping LLM pipeline for immediate dispute queue routing.
B2B-5a0cdd7c-f15,ESCALATED,ESCALATE_HUMAN,2455.21,0.00,N/A,days,2,1,N/A,N/A,dispute_skip,Pre-pipeline skip (dispute): Active dispute flag detected — skipping LLM pipeline for immediate dispute queue routing.
B2B-cc530e36-add,ESCALATED,ESCALATE_HUMAN,1753593.01,0.00,N/A,days,1,1,N/A,N/A,dispute_skip,Pre-pipeline skip (dispute): Active dispute flag detected — skipping LLM pipeline for immediate dispute queue routing.
B2B-53cd6268-610,ESCALATED,ESCALATE_HUMAN,151051.12,0.00,N/A,days,1,1,N/A,N/A,dispute_skip,Pre-pipeline skip (dispute): Active dispute flag detected — skipping LLM pipeline for immediate dispute queue routing.
B2B-f510ab53-c7f,ESCALATED,ESCALATE_HUMAN,1068689.32,0.00,N/A,days,4,1,CASH_FLOW_MISMATCH,0.88,attempt_cap_reached_on_attempt_4,Terminal action ESCALATE_HUMAN executed (ESCALATED).
B2B-c4536f1d-419,RECOVERED,ESCALATE_TONE,2598082.05,2598082.05,11.0,days,2,2,CASH_FLOW_MISMATCH,0.88,N/A,Recovered on loop attempt 2 (attempt_count=3) via ESCALATE_TONE.
B2B-13748146-32c,STOPPED,STOP,4155071.69,0.00,N/A,days,1,1,N/A,N/A,fraud_stop_skip,Pre-pipeline skip (fraud): Fraud flag detected — skipping LLM pipeline for immediate STOP hard-stop.
B2B-a5c5650c-818,STOPPED,STOP,72747.37,0.00,N/A,days,1,1,N/A,N/A,fraud_stop_skip,Pre-pipeline skip (fraud): Fraud flag detected — skipping LLM pipeline for immediate STOP hard-stop.
B2B-c64ee6e3-89c,RECOVERED,OFFER_PAYMENT_PLAN,658308.31,658308.31,7.0,days,1,1,CASH_FLOW_MISMATCH,0.88,N/A,Recovered on loop attempt 1 (attempt_count=1) via OFFER_PAYMENT_PLAN.
B2B-6105716b-ab0,ESCALATED,ESCALATE_HUMAN,207358.22,0.00,N/A,days,1,2,ADMINISTRATIVE_DELAY,0.90,attempt_cap_reached_on_attempt_2,Terminal action ESCALATE_HUMAN executed (ESCALATED).
B2B-7d137018-680,RECOVERED,ESCALATE_TONE,53879.49,53879.49,16.0,days,1,3,CASH_FLOW_MISMATCH,0.88,N/A,Recovered on loop attempt 3 (attempt_count=3) via ESCALATE_TONE.
B2B-ff233d5f-6ce,RECOVERED,OFFER_PAYMENT_PLAN,384736.96,384736.96,5.0,days,1,1,CASH_FLOW_MISMATCH,0.88,N/A,Recovered on loop attempt 1 (attempt_count=1) via OFFER_PAYMENT_PLAN.
B2B-b97e6703-46c,RECOVERED,SEND_REMINDER,208366.57,208366.57,6.0,days,1,1,ADMINISTRATIVE_DELAY,0.90,N/A,Recovered on loop attempt 1 (attempt_count=1) via SEND_REMINDER.
B2B-2053da42-f1a,FAILED,ESCALATE_TONE,492204.25,0.00,N/A,days,1,3,ADMINISTRATIVE_DELAY,0.90,exhausted_all_attempts_failed,Case unrecovered after maximum 3 attempts.
