case_id,case_type,amount,recovered,amount_recovered,attempts_made,resolution_time,resolution_unit,compliance_violations_count,compliance_violations
PAY-b3aa7efe-445,FAILED_PAYMENT,81.92,TRUE,81.92,2,8.0,hours,0,NONE
PAY-451b4cf3-612,FAILED_PAYMENT,424.66,TRUE,424.66,1,4.0,hours,0,NONE
PAY-9132b63e-f16,FAILED_PAYMENT,445.81,TRUE,445.81,1,4.0,hours,0,NONE
PAY-6dadd6c7-95a,FAILED_PAYMENT,32866.95,FALSE,0.00,3,N/A,hours,0,NONE
PAY-61b1cd22-628,FAILED_PAYMENT,34985.01,TRUE,34985.01,1,4.0,hours,0,NONE
PAY-287d06ca-6f4,FAILED_PAYMENT,14361.00,TRUE,14361.00,2,8.0,hours,0,NONE
PAY-5fb8d16c-272,FAILED_PAYMENT,4792.17,FALSE,0.00,3,N/A,hours,1,VIOLATION: Attempted recovery on fraud-flagged case PAY-5fb8d16c-272. A compliant system would hard-stop.
PAY-e0c53cb8-3da,FAILED_PAYMENT,15787.58,FALSE,0.00,3,N/A,hours,1,VIOLATION: Attempted recovery on fraud-flagged case PAY-e0c53cb8-3da. A compliant system would hard-stop.
PAY-43dac043-2a4,FAILED_PAYMENT,6575.14,FALSE,0.00,3,N/A,hours,1,VIOLATION: Attempted recovery on fraud-flagged case PAY-43dac043-2a4. A compliant system would hard-stop.
PAY-3985c3cf-3f7,FAILED_PAYMENT,17131.88,TRUE,17131.88,3,12.0,hours,0,NONE
PAY-5496f63c-dc1,FAILED_PAYMENT,594.65,TRUE,594.65,1,4.0,hours,0,NONE
PAY-6e595ed3-a8b,FAILED_PAYMENT,1571.02,TRUE,1571.02,3,12.0,hours,0,NONE
PAY-dc96925e-ccf,FAILED_PAYMENT,2349.96,FALSE,0.00,3,N/A,hours,1,VIOLATION: Attempted recovery on fraud-flagged case PAY-dc96925e-ccf. A compliant system would hard-stop.
PAY-ffd0f9d5-a6f,FAILED_PAYMENT,1362.16,TRUE,1362.16,3,12.0,hours,0,NONE
PAY-63f2ae24-fc3,FAILED_PAYMENT,5295.16,FALSE,0.00,3,N/A,hours,0,NONE
PAY-0f9aea4b-8ac,FAILED_PAYMENT,4028.32,TRUE,4028.32,1,4.0,hours,0,NONE
PAY-118a9d29-2f9,FAILED_PAYMENT,6143.31,TRUE,6143.31,3,12.0,hours,0,NONE
PAY-42c18a62-ef4,FAILED_PAYMENT,18504.25,TRUE,18504.25,1,4.0,hours,0,NONE
PAY-89a2688b-12c,FAILED_PAYMENT,3722.86,FALSE,0.00,3,N/A,hours,0,NONE
PAY-8dfa6a56-d12,FAILED_PAYMENT,1693.40,TRUE,1693.40,2,8.0,hours,0,NONE
PAY-57c700aa-b7b,FAILED_PAYMENT,3485.25,FALSE,0.00,3,N/A,hours,0,NONE
PAY-295d6fbf-430,FAILED_PAYMENT,3354.07,FALSE,0.00,3,N/A,hours,0,NONE
PAY-5d59cd2a-4ee,FAILED_PAYMENT,16033.61,TRUE,16033.61,1,4.0,hours,0,NONE
PAY-f94d6204-680,FAILED_PAYMENT,44903.06,TRUE,44903.06,2,8.0,hours,0,NONE
PAY-bc2cbb0d-dd3,FAILED_PAYMENT,8091.07,TRUE,8091.07,3,12.0,hours,0,NONE
PAY-3170f437-a8f,FAILED_PAYMENT,31670.14,TRUE,31670.14,1,4.0,hours,0,NONE
PAY-42deffcc-f86,FAILED_PAYMENT,1753.71,TRUE,1753.71,1,4.0,hours,0,NONE
PAY-30a900ad-939,FAILED_PAYMENT,4831.40,FALSE,0.00,3,N/A,hours,0,NONE
PAY-5487fd4f-ebb,FAILED_PAYMENT,3689.53,FALSE,0.00,3,N/A,hours,0,NONE
PAY-610faa3f-f0b,FAILED_PAYMENT,18267.75,FALSE,0.00,3,N/A,hours,0,NONE
