case_id,case_type,amount,recovered,amount_recovered,attempts_made,resolution_time,resolution_unit,compliance_violations_count,compliance_violations
B2B-709b7d97-464,B2B_RECEIVABLE,2917.55,FALSE,0.00,0,N/A,days,1,VIOLATION: Sent recovery contact on disputed case B2B-709b7d97-464. A compliant system would hard-stop and route to dispute resolution. (RBI Fair Practices: debtor's right to dispute)
B2B-6a34c854-107,B2B_RECEIVABLE,1951.00,TRUE,1951.00,2,11.0,days,1,VIOLATION: Sent recovery contact on disputed case B2B-6a34c854-107. A compliant system would hard-stop and route to dispute resolution. (RBI Fair Practices: debtor's right to dispute)
B2B-5a0cdd7c-f15,B2B_RECEIVABLE,2455.21,TRUE,2455.21,2,6.0,days,1,VIOLATION: Sent recovery contact on disputed case B2B-5a0cdd7c-f15. A compliant system would hard-stop and route to dispute resolution. (RBI Fair Practices: debtor's right to dispute)
B2B-cc530e36-add,B2B_RECEIVABLE,1753593.01,TRUE,1753593.01,3,16.0,days,1,VIOLATION: Sent recovery contact on disputed case B2B-cc530e36-add. A compliant system would hard-stop and route to dispute resolution. (RBI Fair Practices: debtor's right to dispute)
B2B-53cd6268-610,B2B_RECEIVABLE,151051.12,TRUE,151051.12,1,5.0,days,1,VIOLATION: Sent recovery contact on disputed case B2B-53cd6268-610. A compliant system would hard-stop and route to dispute resolution. (RBI Fair Practices: debtor's right to dispute)
B2B-f510ab53-c7f,B2B_RECEIVABLE,1068689.32,TRUE,1068689.32,3,9.0,days,0,NONE
B2B-c4536f1d-419,B2B_RECEIVABLE,2598082.05,FALSE,0.00,4,N/A,days,0,NONE
B2B-13748146-32c,B2B_RECEIVABLE,4155071.69,FALSE,0.00,4,N/A,days,1,VIOLATION: Attempted recovery on fraud-flagged case B2B-13748146-32c. A compliant system would hard-stop.
B2B-a5c5650c-818,B2B_RECEIVABLE,72747.37,FALSE,0.00,4,N/A,days,1,VIOLATION: Attempted recovery on fraud-flagged case B2B-a5c5650c-818. A compliant system would hard-stop.
B2B-c64ee6e3-89c,B2B_RECEIVABLE,658308.31,TRUE,658308.31,2,13.0,days,0,NONE
B2B-6105716b-ab0,B2B_RECEIVABLE,207358.22,TRUE,207358.22,1,7.0,days,0,NONE
B2B-7d137018-680,B2B_RECEIVABLE,53879.49,TRUE,53879.49,1,14.0,days,0,NONE
B2B-ff233d5f-6ce,B2B_RECEIVABLE,384736.96,FALSE,0.00,4,N/A,days,0,NONE
B2B-b97e6703-46c,B2B_RECEIVABLE,208366.57,FALSE,0.00,0,N/A,days,0,NONE
B2B-2053da42-f1a,B2B_RECEIVABLE,492204.25,FALSE,0.00,0,N/A,days,0,NONE
B2B-a1235a8c-93b,B2B_RECEIVABLE,11103.89,FALSE,0.00,2,N/A,days,0,NONE
B2B-4c1f55ab-715,B2B_RECEIVABLE,1923688.46,FALSE,0.00,4,N/A,days,0,NONE
B2B-00af5b3a-281,B2B_RECEIVABLE,65892.46,FALSE,0.00,4,N/A,days,0,NONE
B2B-32a447b2-ef0,B2B_RECEIVABLE,113055.94,TRUE,113055.94,2,10.0,days,0,NONE
B2B-b321bf21-4dd,B2B_RECEIVABLE,463364.58,FALSE,0.00,0,N/A,days,0,NONE
B2B-c19ad58c-c35,B2B_RECEIVABLE,275103.55,FALSE,0.00,0,N/A,days,0,NONE
B2B-a99f1318-49c,B2B_RECEIVABLE,211262.63,FALSE,0.00,2,N/A,days,0,NONE
B2B-c1a6423b-9f6,B2B_RECEIVABLE,281930.36,FALSE,0.00,1,N/A,days,0,NONE
B2B-8d605936-038,B2B_RECEIVABLE,34035.06,FALSE,0.00,4,N/A,days,0,NONE
B2B-6232b17a-250,B2B_RECEIVABLE,670191.68,TRUE,670191.68,2,14.0,days,0,NONE
B2B-dd81b7f5-7d5,B2B_RECEIVABLE,154603.34,TRUE,154603.34,1,8.0,days,0,NONE
B2B-e9d68f23-b48,B2B_RECEIVABLE,59672.57,FALSE,0.00,1,N/A,days,0,NONE
B2B-74f93d17-e91,B2B_RECEIVABLE,428299.02,TRUE,428299.02,2,8.0,days,0,NONE
B2B-a075e927-511,B2B_RECEIVABLE,1954935.19,TRUE,1954935.19,2,15.0,days,0,NONE
B2B-2a96e1e2-719,B2B_RECEIVABLE,553848.65,FALSE,0.00,0,N/A,days,0,NONE
B2B-2cd1586a-2b8,B2B_RECEIVABLE,81652.91,FALSE,0.00,1,N/A,days,0,NONE
B2B-12e89d10-287,B2B_RECEIVABLE,196331.92,FALSE,0.00,3,N/A,days,0,NONE
B2B-fe2110d0-4bb,B2B_RECEIVABLE,355575.48,FALSE,0.00,4,N/A,days,0,NONE
B2B-3810ae66-5a3,B2B_RECEIVABLE,1093708.61,TRUE,1093708.61,1,4.0,days,0,NONE
B2B-1712fb16-21a,B2B_RECEIVABLE,388371.35,TRUE,388371.35,3,21.0,days,0,NONE
B2B-cde22f1c-56b,B2B_RECEIVABLE,180317.92,FALSE,0.00,2,N/A,days,0,NONE
B2B-5e5ba13d-746,B2B_RECEIVABLE,96985.02,FALSE,0.00,4,N/A,days,0,NONE
B2B-e8cda0cc-76d,B2B_RECEIVABLE,428966.92,FALSE,0.00,0,N/A,days,0,NONE
B2B-aba4fc03-5ef,B2B_RECEIVABLE,14081.21,FALSE,0.00,1,N/A,days,0,NONE
B2B-71d79665-718,B2B_RECEIVABLE,334936.14,FALSE,0.00,0,N/A,days,0,NONE
B2B-a3b5cece-a44,B2B_RECEIVABLE,71711.22,FALSE,0.00,4,N/A,days,0,NONE
B2B-3ba5cd2f-dea,B2B_RECEIVABLE,865353.35,FALSE,0.00,4,N/A,days,0,NONE
B2B-96bf10ab-3ce,B2B_RECEIVABLE,504253.33,FALSE,0.00,4,N/A,days,0,NONE
B2B-e8a3f341-c88,B2B_RECEIVABLE,76754.63,FALSE,0.00,0,N/A,days,0,NONE
B2B-204e178c-10d,B2B_RECEIVABLE,485610.47,TRUE,485610.47,3,6.0,days,0,NONE
B2B-73991a47-6e1,B2B_RECEIVABLE,230074.18,TRUE,230074.18,1,8.0,days,0,NONE
B2B-be9d61ee-18b,B2B_RECEIVABLE,1098095.28,FALSE,0.00,0,N/A,days,0,NONE
B2B-0d2b91ef-b89,B2B_RECEIVABLE,334586.03,FALSE,0.00,2,N/A,days,0,NONE
B2B-8f9b72ae-d85,B2B_RECEIVABLE,62012.67,FALSE,0.00,0,N/A,days,0,NONE
B2B-24ac2130-dea,B2B_RECEIVABLE,357079.67,TRUE,357079.67,1,15.0,days,0,NONE
