case_id,status,final_action,amount,amount_recovered,resolution_time,resolution_unit,initial_attempt_count,attempts_made,diagnosis_category,diagnosis_confidence,escalation_reason,reasoning_summary
PAY-b3aa7efe-445,ESCALATED,ESCALATE_HUMAN,81.92,0.00,N/A,hours,5,1,N/A,N/A,attempt_cap_reached_at_start,Pre-pipeline skip (cost_threshold): COST GATE: Case amount ₹81.92 is below the FAILED_PAYMENT recovery threshold (₹500.00). Use cheap automatic path only — skip full LLM diagnosis pipeline to avoid spending more on recovery than the case is worth.
PAY-451b4cf3-612,ESCALATED,ESCALATE_HUMAN,424.66,0.00,N/A,hours,5,1,N/A,N/A,attempt_cap_reached_at_start,Pre-pipeline skip (cost_threshold): COST GATE: Case amount ₹424.66 is below the FAILED_PAYMENT recovery threshold (₹500.00). Use cheap automatic path only — skip full LLM diagnosis pipeline to avoid spending more on recovery than the case is worth.
PAY-9132b63e-f16,FAILED,RETRY_NOW,445.81,0.00,N/A,hours,3,1,N/A,N/A,N/A,Pre-pipeline skip (cost_threshold): COST GATE: Case amount ₹445.81 is below the FAILED_PAYMENT recovery threshold (₹500.00). Use cheap automatic path only — skip full LLM diagnosis pipeline to avoid spending more on recovery than the case is worth.
PAY-6dadd6c7-95a,RECOVERED,RETRY_NOW,32866.95,32866.95,4.0,hours,1,1,TRANSIENT_NETWORK,0.91,N/A,Recovered on loop attempt 1 (attempt_count=1) via RETRY_NOW.
PAY-61b1cd22-628,ESCALATED,ESCALATE_HUMAN,34985.01,0.00,N/A,hours,3,3,FUNDS_UNAVAILABLE,0.88,attempt_cap_reached_on_attempt_5,Terminal action ESCALATE_HUMAN executed (ESCALATED).
PAY-287d06ca-6f4,FAILED,SUGGEST_ALTERNATE_METHOD,14361.00,0.00,N/A,hours,1,3,FUNDS_UNAVAILABLE,0.88,exhausted_all_attempts_failed,Case unrecovered after maximum 3 attempts.
PAY-5fb8d16c-272,STOPPED,STOP,4792.17,0.00,N/A,hours,4,1,N/A,N/A,fraud_stop_skip,Pre-pipeline skip (fraud): Fraud flag detected — skipping LLM pipeline for immediate STOP hard-stop.
PAY-e0c53cb8-3da,STOPPED,STOP,15787.58,0.00,N/A,hours,1,1,N/A,N/A,fraud_stop_skip,Pre-pipeline skip (fraud): Fraud flag detected — skipping LLM pipeline for immediate STOP hard-stop.
PAY-43dac043-2a4,STOPPED,STOP,6575.14,0.00,N/A,hours,1,1,N/A,N/A,fraud_stop_skip,Pre-pipeline skip (fraud): Fraud flag detected — skipping LLM pipeline for immediate STOP hard-stop.
PAY-3985c3cf-3f7,RECOVERED,RETRY_LATER,17131.88,17131.88,10.0,hours,1,1,FUNDS_UNAVAILABLE,0.92,N/A,Recovered on loop attempt 1 (attempt_count=1) via RETRY_LATER.
